record_id,workload_type,compute_demand_TFlops,storage_demand_TB,network_demand_Gbps,energy_source,energy_consumption_kWh,renewable_share_percent,carbon_emissions_kgCO2,qso_optimization_score,uncertainty_factor,security_level,pqc_enabled,energy_efficiency_index,service_quality_index,secure_operations_score,workload_scenario,scenario_strategy,operational_cost_usd,performance_metric
DC0453,Cloud Storage,62.23,92.18,70.63,Grid,11991.61,69.7,1922.72,0.935,0.688,High,0,0.819,0.656,0.939,Low,Balanced Approach,108770.71,0.637
DC0454,Web Hosting,46.82,97.11,81.8,Grid,12077.87,85.52,136.95,0.835,0.22,High,0,0.777,0.955,0.678,Renewable Boost,Carbon-Neutral Objective,25895.56,0.968
DC0455,AI Training,366.81,27.56,54.87,Wind,41047.96,59.56,328.97,0.843,0.439,Medium,1,0.506,0.935,0.65,Peak,Performance-Driven Strategy,81386.91,0.738
DC0456,Web Hosting,252.79,17.04,96.72,Solar,46589.52,23.78,77.33,0.303,0.782,Quantum-Safe,1,0.848,0.779,0.607,High,Carbon-Neutral Objective,119907.99,0.963
DC0457,Web Hosting,347.32,145.86,5.64,Solar,5672.69,75.53,1155.37,0.429,0.784,Quantum-Safe,0,0.688,0.662,0.519,Low,Conventional,58758.75,0.978
DC0458,Web Hosting,223.07,99.8,50.73,Solar,23052.87,64.02,1867.92,0.471,0.453,Low,1,0.971,0.647,0.522,High,Balanced Approach,39168.74,0.602
DC0459,IoT Processing,130.74,87.93,71.99,Hybrid,17535.26,75.81,1348.6,0.157,0.792,Quantum-Safe,0,0.909,0.517,0.935,Renewable Boost,Balanced Approach,156070.72,0.786
DC0460,AI Training,411.36,146.17,86.33,Hybrid,43663.73,79.28,1654.18,0.031,0.839,Medium,0,0.794,0.908,0.839,Medium,Balanced Approach,189624.28,0.61
DC0461,Web Hosting,401.71,153.34,18.34,Hybrid,5092.72,97.79,75.9,0.947,0.655,High,1,0.626,0.725,0.83,High,Performance-Driven Strategy,24585.88,0.963
DC0462,Database Queries,350.4,32.62,80.1,Grid,11345.17,61.62,1106.93,0.241,0.228,Medium,0,0.602,0.663,0.807,Medium,Balanced Approach,35340.11,0.807
DC0463,AI Training,143.35,122.43,55.49,Solar,37870.95,40.75,946.15,0.24,0.274,Medium,0,0.67,0.736,0.925,High,Performance-Driven Strategy,192202.47,0.63
DC0464,Web Hosting,299.21,27.94,39.96,Grid,3513.4,68.36,1022.99,0.083,0.315,Medium,1,0.738,0.909,0.74,Medium,Balanced Approach,12367.92,0.644
DC0465,Database Queries,186.88,150.52,13.61,Solar,25134.23,16.16,190.82,0.929,0.117,Quantum-Safe,0,0.648,0.562,0.935,Medium,Conventional,195638.31,0.753
DC0466,IoT Processing,54.88,131.73,86.6,Solar,22663.24,90.77,1384.65,0.58,0.273,Quantum-Safe,0,0.757,0.929,0.68,Low,Performance-Driven Strategy,5905.67,0.976
DC0467,Cloud Storage,459.48,191.37,16.15,Grid,17385.66,20.74,1031.28,0.667,0.21,High,0,0.583,0.949,0.963,Medium,Performance-Driven Strategy,175365.39,0.877
DC0468,Web Hosting,77.04,14.72,31.32,Hybrid,20334.04,39.51,1542.04,0.912,0.455,High,0,0.989,0.973,0.849,Medium,Performance-Driven Strategy,64928.41,0.947
DC0469,Database Queries,475.62,12.35,29.36,Hybrid,26967.09,83.42,996.32,0.346,0.908,Medium,1,0.554,0.699,0.629,High,Performance-Driven Strategy,188024.83,0.747
DC0470,Web Hosting,228.54,57.16,87.21,Hybrid,8907.0,63.76,341.29,0.622,0.104,Quantum-Safe,1,0.966,0.609,0.782,Medium,Conventional,66804.33,0.617
DC0471,IoT Processing,100.72,53.08,67.43,Wind,29027.8,45.43,1314.1,0.039,0.72,Quantum-Safe,1,0.957,0.687,0.767,Medium,Performance-Driven Strategy,132589.73,0.99
DC0472,Cloud Storage,275.53,50.15,79.77,Solar,40466.18,52.61,386.15,0.187,0.687,Low,1,0.763,0.666,0.569,High,Conventional,20606.35,0.607
DC0473,Cloud Storage,437.74,181.34,25.42,Solar,38247.89,86.91,1751.17,0.831,0.096,Low,1,0.862,0.588,0.796,Medium,Performance-Driven Strategy,52254.31,0.979
DC0474,Web Hosting,368.79,50.66,62.67,Grid,8541.1,40.6,1245.58,0.767,0.923,Quantum-Safe,0,0.718,0.804,0.657,Renewable Boost,Conventional,155867.47,0.747
DC0475,Web Hosting,405.21,55.12,57.39,Wind,8313.22,88.27,356.55,0.351,0.568,Medium,0,0.815,0.738,0.526,High,Energy-Efficient Focus,108093.74,0.604
DC0476,AI Training,332.8,152.12,83.37,Hybrid,14140.54,17.93,1926.56,0.377,0.364,Medium,0,0.67,0.933,0.974,Medium,Conventional,185953.97,0.876
DC0477,Web Hosting,349.22,90.5,90.66,Grid,18692.66,79.91,1060.81,0.534,0.757,Quantum-Safe,1,0.651,0.516,0.821,High,Energy-Efficient Focus,88606.52,0.992
DC0478,AI Training,426.11,155.57,1.71,Solar,21014.32,86.28,192.15,0.0,0.257,Low,1,0.789,0.822,0.938,Peak,Balanced Approach,174613.41,0.986
DC0479,Cloud Storage,132.34,14.01,67.56,Wind,34305.16,26.36,1272.32,0.241,0.694,Quantum-Safe,1,0.749,0.881,0.838,Medium,Performance-Driven Strategy,92546.31,0.664
DC0480,Web Hosting,249.82,98.03,5.66,Solar,3777.34,48.73,543.74,0.208,0.04,Medium,1,0.79,0.88,0.678,Medium,Performance-Driven Strategy,195953.41,0.672
DC0481,Web Hosting,118.39,7.69,55.11,Wind,2698.96,24.89,1617.2,0.25,0.839,High,0,0.643,0.943,0.756,High,Energy-Efficient Focus,192167.7,0.826
DC0482,IoT Processing,493.96,13.47,29.12,Hybrid,20203.62,73.59,1644.75,0.806,0.448,Medium,1,0.683,0.865,0.838,High,Carbon-Neutral Objective,69181.66,0.855
DC0483,Web Hosting,472.59,181.38,31.02,Hybrid,35161.02,58.18,1958.95,0.28,0.637,Medium,0,0.542,0.964,0.98,Low,Balanced Approach,177755.12,0.896
DC0484,Cloud Storage,29.32,28.71,35.62,Wind,10478.33,67.18,1028.65,0.192,0.221,Quantum-Safe,1,0.526,0.666,0.627,Peak,Balanced Approach,170284.22,0.672
DC0485,AI Training,355.73,106.95,62.32,Hybrid,32433.72,27.68,937.17,0.504,0.677,Low,1,0.627,0.752,0.937,Low,Carbon-Neutral Objective,46082.68,0.984
DC0486,Database Queries,463.37,82.81,33.74,Wind,13731.58,29.06,1519.28,0.866,0.772,Medium,1,0.537,0.507,0.962,High,Balanced Approach,126736.63,0.855
DC0487,Cloud Storage,98.48,70.12,73.4,Hybrid,44418.22,13.73,308.32,0.241,0.473,Low,0,0.552,0.503,0.835,Peak,Carbon-Neutral Objective,19173.05,0.939
DC0488,Database Queries,288.29,180.07,40.75,Wind,44888.81,38.99,1116.49,0.079,0.618,Low,1,0.906,0.62,0.966,High,Energy-Efficient Focus,168158.59,0.816
DC0489,Database Queries,458.59,5.34,7.3,Solar,15567.07,60.38,1115.18,0.356,0.456,Quantum-Safe,0,0.519,0.55,0.699,Low,Energy-Efficient Focus,39036.45,0.766
DC0490,Database Queries,26.63,133.09,78.48,Grid,12269.69,87.21,224.47,0.748,0.894,Low,1,0.829,0.63,0.977,Renewable Boost,Carbon-Neutral Objective,18808.87,0.991
DC0491,Web Hosting,351.74,192.72,28.93,Grid,21153.89,70.02,865.07,0.551,0.498,High,0,0.636,0.589,0.851,High,Energy-Efficient Focus,83042.72,0.833
DC0492,AI Training,155.7,112.47,43.56,Wind,12786.05,49.19,1713.91,0.817,0.842,Quantum-Safe,1,0.936,0.514,0.521,High,Conventional,117499.82,0.947
DC0493,Database Queries,462.95,187.43,68.7,Solar,33946.81,95.78,1719.5,0.96,0.801,Medium,1,0.742,0.955,0.953,Medium,Energy-Efficient Focus,171708.81,0.981
DC0494,IoT Processing,485.82,11.4,33.58,Wind,41477.17,74.73,243.51,0.793,0.411,Medium,1,0.653,0.504,0.742,Peak,Performance-Driven Strategy,194977.29,0.87
DC0495,Database Queries,472.69,84.34,6.13,Hybrid,33981.51,93.71,226.91,0.604,0.23,Low,1,0.759,0.868,0.73,Peak,Energy-Efficient Focus,90701.04,0.82
DC0496,Database Queries,242.36,52.77,37.71,Solar,41393.17,57.48,562.26,0.493,0.406,Quantum-Safe,1,0.691,0.576,0.783,Low,Carbon-Neutral Objective,16787.15,0.601
DC0497,Database Queries,432.4,146.43,94.47,Solar,20452.62,33.3,1755.79,0.04,0.826,Medium,1,0.782,0.956,0.575,Low,Performance-Driven Strategy,151077.54,0.616
DC0498,Database Queries,423.83,196.28,64.35,Wind,8659.53,14.75,301.36,0.984,0.228,Low,1,0.557,0.946,0.735,High,Balanced Approach,115208.78,0.68
DC0499,AI Training,166.36,52.05,67.31,Grid,37159.6,75.35,1453.99,0.383,0.524,Medium,0,0.998,0.827,0.916,Medium,Carbon-Neutral Objective,92338.81,0.674
DC0500,Database Queries,416.17,131.18,63.41,Solar,18663.25,20.92,247.27,0.152,0.806,Low,1,0.713,0.836,0.508,Medium,Energy-Efficient Focus,65307.43,0.702
DC0501,Database Queries,28.13,40.42,20.3,Grid,33892.27,37.25,1265.12,0.667,0.353,High,0,0.674,0.503,0.636,Renewable Boost,Conventional,102967.71,0.722
DC0502,Cloud Storage,302.17,113.5,42.12,Wind,14261.55,57.92,744.33,0.284,0.642,Medium,0,0.855,0.992,0.501,High,Conventional,71042.52,0.744
DC0503,IoT Processing,122.7,93.32,75.22,Hybrid,4980.25,60.8,1588.38,0.586,0.246,Quantum-Safe,1,0.682,0.939,0.708,Renewable Boost,Performance-Driven Strategy,152617.31,0.768
DC0504,Database Queries,69.08,194.43,10.59,Wind,49636.51,64.05,505.7,0.587,0.109,Low,0,0.917,0.948,0.864,Low,Carbon-Neutral Objective,111059.27,0.64
DC0505,AI Training,47.71,122.1,28.15,Grid,8653.87,24.96,1296.44,0.446,0.794,Low,1,0.727,0.83,0.899,Low,Conventional,175985.32,0.617
DC0506,AI Training,351.18,70.55,27.99,Grid,49432.63,44.18,509.58,0.836,0.099,Medium,1,0.86,0.672,0.973,Medium,Energy-Efficient Focus,110991.06,0.87
DC0507,Cloud Storage,176.54,23.71,43.49,Grid,48886.72,65.55,1441.64,0.265,0.271,Medium,1,0.554,0.947,0.804,High,Balanced Approach,51461.17,0.815
DC0508,IoT Processing,365.14,31.1,98.05,Hybrid,39897.09,97.28,1753.67,0.449,0.855,Low,1,0.923,0.646,0.627,Renewable Boost,Conventional,170962.92,0.778
DC0509,IoT Processing,42.02,45.84,7.22,Solar,33311.73,75.49,297.26,0.538,0.346,High,0,0.868,0.781,0.962,Medium,Performance-Driven Strategy,113657.71,0.854
DC0510,Database Queries,164.49,50.94,52.11,Wind,29312.55,93.03,1739.86,0.664,0.973,Low,1,0.606,0.55,0.888,Renewable Boost,Carbon-Neutral Objective,45334.0,0.931
DC0511,Web Hosting,274.35,170.27,18.35,Wind,43438.98,78.6,1207.47,0.784,0.98,High,1,0.573,0.961,0.787,Low,Balanced Approach,126584.02,0.771
DC0512,Web Hosting,397.45,112.68,97.08,Wind,15182.54,63.25,297.87,0.395,0.268,Quantum-Safe,0,0.658,0.57,0.848,Medium,Performance-Driven Strategy,74754.77,0.856
DC0513,Web Hosting,166.19,105.15,11.77,Hybrid,23916.38,27.28,883.71,0.646,0.041,High,0,0.988,0.612,0.962,Peak,Energy-Efficient Focus,169659.09,0.981
DC0514,Database Queries,316.69,23.84,40.66,Wind,31350.11,70.0,363.68,0.151,0.705,Quantum-Safe,0,0.628,0.779,0.856,Low,Balanced Approach,93393.45,0.936
DC0515,IoT Processing,444.13,172.17,73.92,Hybrid,21148.33,66.1,1415.68,0.933,0.451,Quantum-Safe,0,0.728,0.882,0.684,Peak,Conventional,146656.06,0.77
DC0516,Database Queries,311.77,144.84,70.6,Wind,21946.84,64.22,1529.79,0.383,0.101,Quantum-Safe,0,0.515,0.81,0.857,Renewable Boost,Conventional,23629.56,0.858
DC0517,IoT Processing,124.15,14.47,42.56,Grid,17183.95,54.08,256.3,0.73,0.708,High,0,0.699,0.616,0.52,Renewable Boost,Balanced Approach,82224.75,0.671
DC0518,AI Training,21.96,141.86,34.98,Hybrid,28647.36,57.58,1036.97,0.02,0.031,Medium,1,0.786,0.5,0.693,Renewable Boost,Energy-Efficient Focus,196732.08,0.824
DC0519,Web Hosting,436.35,109.16,40.06,Hybrid,42678.15,40.1,1638.52,0.205,0.87,Quantum-Safe,0,0.977,0.879,0.703,Low,Performance-Driven Strategy,162649.76,0.993
DC0520,Cloud Storage,20.42,17.26,26.8,Solar,10874.89,56.74,1875.52,0.487,0.139,Medium,0,0.758,0.993,0.583,Medium,Carbon-Neutral Objective,36188.46,0.807
DC0521,IoT Processing,438.6,92.2,20.93,Grid,46787.22,27.78,1051.36,0.878,0.127,Low,0,0.91,0.905,0.512,Peak,Balanced Approach,59163.99,0.971
DC0522,Cloud Storage,269.18,97.45,48.56,Hybrid,34765.3,82.47,1903.04,0.527,0.176,High,0,0.774,0.73,0.567,Peak,Conventional,69314.08,0.763
DC0523,Database Queries,470.14,33.99,27.22,Grid,41340.39,26.72,1094.59,0.93,0.96,Medium,0,0.52,0.952,0.827,High,Conventional,131821.28,1.0
DC0524,IoT Processing,401.4,189.19,29.1,Grid,28253.34,17.65,818.67,0.484,0.693,Quantum-Safe,0,0.658,0.705,0.901,Peak,Performance-Driven Strategy,152613.98,0.832
DC0525,Cloud Storage,498.99,170.15,65.85,Hybrid,39196.32,49.26,1704.0,0.49,0.801,High,0,0.788,0.762,0.994,Low,Carbon-Neutral Objective,151157.69,0.617
DC0526,Database Queries,181.85,134.14,96.87,Hybrid,1793.82,69.25,1011.32,0.12,0.398,High,1,0.975,0.739,0.673,Peak,Performance-Driven Strategy,104425.44,0.835
DC0527,IoT Processing,385.92,93.0,60.56,Grid,41100.64,49.39,970.21,0.803,0.336,Quantum-Safe,0,0.93,0.724,0.8,Medium,Carbon-Neutral Objective,163110.0,0.71
DC0528,AI Training,206.95,82.94,8.16,Solar,2966.8,34.91,1006.11,0.247,0.234,Quantum-Safe,1,0.614,0.888,0.969,Renewable Boost,Performance-Driven Strategy,90230.23,0.613
DC0529,Web Hosting,245.14,130.54,8.02,Grid,44605.76,60.24,1701.23,0.9,0.481,High,1,0.61,0.763,0.584,Medium,Carbon-Neutral Objective,29156.71,0.928
DC0530,IoT Processing,317.48,109.54,95.17,Wind,49606.17,41.23,1672.29,0.911,0.552,Quantum-Safe,1,0.601,0.658,0.859,Peak,Energy-Efficient Focus,115066.16,0.71
DC0531,Web Hosting,438.1,13.39,30.08,Solar,15409.31,93.96,836.86,0.943,0.632,Low,1,0.961,0.629,0.877,High,Performance-Driven Strategy,190698.77,0.919
DC0532,Web Hosting,492.2,102.99,9.66,Grid,11305.61,93.04,699.93,0.52,0.257,Low,0,0.926,0.519,0.544,Low,Energy-Efficient Focus,159633.76,0.715
DC0533,Cloud Storage,386.45,161.47,60.1,Solar,38502.8,55.21,1009.26,0.677,0.949,Low,1,0.887,0.792,0.931,Low,Energy-Efficient Focus,117846.63,0.678
DC0534,IoT Processing,214.71,92.39,62.55,Hybrid,13398.29,39.51,1166.91,0.779,0.17,Medium,1,0.696,0.615,0.907,Peak,Carbon-Neutral Objective,131127.1,0.99
DC0535,Web Hosting,216.46,11.34,65.03,Hybrid,43412.56,76.34,514.76,0.131,0.966,Medium,1,0.752,0.574,0.517,Low,Carbon-Neutral Objective,186459.6,0.745
DC0536,Web Hosting,371.42,157.47,27.11,Hybrid,6039.29,13.3,1598.21,0.601,0.015,Low,0,0.732,0.827,0.546,High,Carbon-Neutral Objective,88526.84,0.841
DC0537,Database Queries,127.0,41.07,2.0,Hybrid,7171.8,52.73,998.64,0.034,0.481,Low,1,0.627,0.841,0.525,Renewable Boost,Conventional,69621.86,0.844
DC0538,IoT Processing,64.13,52.47,96.52,Solar,48978.43,40.27,701.39,0.498,0.333,Low,1,0.753,0.876,0.667,Low,Energy-Efficient Focus,195562.11,0.824
DC0539,AI Training,183.76,33.78,25.46,Wind,34018.11,92.85,258.3,0.155,0.449,Medium,0,0.515,0.752,0.755,Low,Conventional,173371.41,0.966
DC0540,Database Queries,150.75,66.71,67.76,Solar,42497.47,11.08,515.75,0.183,0.571,Quantum-Safe,0,0.566,0.947,0.766,Renewable Boost,Balanced Approach,67993.5,0.87
DC0541,Web Hosting,155.19,151.59,70.81,Wind,16892.14,59.75,1901.1,0.365,0.436,High,1,0.943,0.968,0.634,Low,Balanced Approach,95437.22,0.761
DC0542,Database Queries,124.47,104.36,61.2,Hybrid,34147.7,76.66,644.94,0.432,0.415,Low,1,0.876,0.904,0.956,Medium,Carbon-Neutral Objective,85940.24,0.945
DC0543,Cloud Storage,30.63,41.77,31.63,Grid,30117.85,53.65,379.28,0.623,0.733,High,0,0.711,0.818,0.684,Medium,Carbon-Neutral Objective,34073.66,0.672
DC0544,Database Queries,18.76,175.69,27.47,Solar,30554.36,17.69,948.31,0.074,0.686,Low,0,0.759,0.652,0.523,High,Energy-Efficient Focus,191774.77,0.818
DC0545,IoT Processing,493.98,176.04,59.97,Hybrid,34444.09,97.52,648.82,0.504,0.833,Medium,1,0.685,0.991,0.65,Low,Conventional,83840.92,0.98
DC0546,AI Training,219.61,174.25,86.68,Grid,29192.6,56.62,118.56,0.183,0.25,High,0,0.87,0.637,0.766,Low,Energy-Efficient Focus,175689.17,0.85
DC0547,Web Hosting,198.32,48.52,94.7,Hybrid,22024.06,65.28,680.13,0.574,0.61,Quantum-Safe,1,0.892,0.601,0.704,Low,Conventional,41924.46,0.927
DC0548,AI Training,343.03,90.8,11.04,Wind,14520.21,31.29,1111.01,0.637,0.585,Quantum-Safe,1,0.882,0.721,0.637,Medium,Conventional,111834.81,0.861
DC0549,Cloud Storage,116.94,197.01,15.91,Grid,38660.49,53.51,1125.84,0.557,0.37,High,0,0.861,0.528,0.566,High,Performance-Driven Strategy,9672.47,0.936
DC0550,Cloud Storage,475.48,154.63,94.5,Hybrid,12087.35,48.62,745.29,0.738,0.486,Quantum-Safe,1,0.602,0.989,0.91,Low,Performance-Driven Strategy,154022.99,0.978
DC0551,Database Queries,395.31,6.41,73.79,Wind,34925.36,16.74,922.24,0.336,0.314,Low,0,0.669,0.794,0.998,Medium,Performance-Driven Strategy,118278.21,0.709
DC0552,Database Queries,53.81,13.98,88.36,Solar,12433.31,19.55,1932.76,0.765,0.142,Low,0,0.735,0.778,0.665,High,Balanced Approach,126989.97,0.668
DC0553,AI Training,214.61,93.32,20.66,Solar,31641.18,85.37,785.83,0.433,0.214,Quantum-Safe,0,0.665,0.828,0.691,High,Conventional,15085.57,0.794
DC0554,AI Training,440.77,181.93,58.96,Grid,37606.84,31.58,553.54,0.484,0.106,Quantum-Safe,0,0.877,0.749,0.809,Peak,Energy-Efficient Focus,46152.47,0.881
DC0555,Database Queries,472.92,108.2,70.26,Hybrid,11716.98,27.55,524.76,0.648,0.683,Medium,0,0.665,0.516,0.859,Low,Balanced Approach,19494.52,0.691
DC0556,Cloud Storage,239.03,100.06,68.17,Hybrid,3937.22,55.44,942.64,0.018,0.661,High,0,0.569,0.806,0.696,Peak,Conventional,61338.29,0.602
DC0557,AI Training,310.57,21.99,41.11,Wind,7417.71,79.19,1531.06,0.654,0.951,Low,0,0.7,0.858,0.952,Low,Conventional,127350.61,0.737
DC0558,Cloud Storage,91.85,131.7,2.03,Wind,30693.85,15.58,451.68,0.619,0.73,High,0,0.99,0.708,0.78,High,Energy-Efficient Focus,115406.27,0.988
DC0559,Database Queries,495.67,164.6,58.5,Wind,42622.87,61.91,1433.13,0.31,0.052,High,0,0.613,0.879,0.725,Peak,Energy-Efficient Focus,124369.22,0.878
DC0560,AI Training,123.52,76.7,25.68,Solar,3204.84,20.73,91.24,0.086,0.884,Quantum-Safe,0,0.806,0.614,0.823,High,Performance-Driven Strategy,112104.0,0.761
DC0561,Database Queries,471.94,155.35,45.3,Hybrid,36973.41,13.28,866.92,0.091,0.863,Medium,0,0.716,0.611,0.976,Renewable Boost,Balanced Approach,58240.62,0.677
DC0562,Web Hosting,328.33,192.93,95.78,Hybrid,17724.61,14.75,1562.94,0.923,0.443,Low,1,0.536,0.581,0.897,Medium,Carbon-Neutral Objective,52678.96,0.742
DC0563,Database Queries,307.79,41.55,40.2,Solar,24447.89,85.07,710.53,0.689,0.586,Medium,0,0.744,0.686,0.52,High,Performance-Driven Strategy,31726.64,0.668
DC0564,Cloud Storage,261.22,105.14,84.06,Grid,46514.12,20.62,1149.29,0.127,0.976,Low,1,0.851,0.924,0.666,Low,Carbon-Neutral Objective,170568.82,0.643
DC0565,Database Queries,123.03,58.14,19.26,Wind,17266.6,14.06,449.71,0.357,0.532,Low,1,0.757,0.914,0.735,High,Energy-Efficient Focus,125213.47,0.963
DC0566,Web Hosting,96.5,158.78,67.41,Grid,23801.51,49.41,1496.89,0.592,0.905,Medium,0,0.936,0.691,0.657,Medium,Conventional,41369.65,0.999
DC0567,Cloud Storage,118.04,115.94,97.71,Hybrid,1670.44,85.96,151.94,0.836,0.083,Quantum-Safe,0,0.644,0.795,0.85,High,Carbon-Neutral Objective,39555.83,0.666
DC0568,AI Training,101.35,127.28,10.64,Wind,4998.34,33.62,1712.46,0.044,0.191,Medium,0,0.543,0.86,0.913,Low,Conventional,175241.94,0.622
DC0569,Cloud Storage,392.0,159.78,1.33,Hybrid,13670.99,47.95,436.48,0.237,0.441,Quantum-Safe,1,0.968,0.621,0.866,Medium,Balanced Approach,149832.52,0.732
DC0570,Database Queries,181.56,79.8,43.64,Hybrid,2364.76,13.59,1755.08,0.89,0.585,High,0,0.689,0.584,0.995,Medium,Energy-Efficient Focus,133582.82,0.785
DC0571,IoT Processing,38.34,183.1,9.72,Wind,31937.39,50.42,737.43,0.009,0.816,High,0,0.788,0.986,0.636,Peak,Performance-Driven Strategy,84338.5,0.682
DC0572,IoT Processing,484.86,107.07,74.96,Grid,21893.52,61.99,1459.23,0.201,0.988,High,0,0.896,0.809,0.937,High,Performance-Driven Strategy,56085.24,0.721
DC0573,IoT Processing,443.06,32.43,91.5,Grid,27859.11,61.38,672.49,0.959,0.389,Low,1,0.662,0.991,0.883,Medium,Carbon-Neutral Objective,195992.9,0.68
DC0574,Database Queries,464.6,139.48,43.69,Hybrid,9557.71,39.92,1816.53,0.613,0.047,Low,1,0.858,0.669,0.681,Low,Performance-Driven Strategy,160461.72,0.91
DC0575,AI Training,497.5,158.86,26.24,Wind,15500.67,38.4,296.94,0.262,0.801,Quantum-Safe,1,0.568,0.852,0.867,Peak,Performance-Driven Strategy,63846.95,0.885
DC0576,AI Training,95.21,64.04,43.72,Hybrid,33527.4,19.6,398.11,0.067,0.604,High,1,0.646,0.611,0.552,Peak,Balanced Approach,170275.14,0.854
DC0577,AI Training,204.16,171.58,72.48,Grid,48299.83,43.01,1011.41,0.028,0.199,Low,1,0.572,0.631,0.895,High,Conventional,152991.73,0.755
DC0578,IoT Processing,381.54,181.32,1.4,Solar,3470.42,18.95,209.78,0.245,0.495,Quantum-Safe,0,0.906,0.756,0.766,Peak,Performance-Driven Strategy,62930.71,0.964
DC0579,Database Queries,351.05,56.1,59.15,Solar,44628.83,78.99,432.16,0.881,0.742,High,0,0.611,0.66,0.646,Renewable Boost,Conventional,88177.81,0.988
DC0580,AI Training,85.41,196.72,61.52,Grid,29267.18,96.96,1890.34,0.416,0.77,Quantum-Safe,1,0.859,0.584,0.828,Medium,Performance-Driven Strategy,41260.92,0.669
DC0581,Web Hosting,409.76,29.0,63.95,Wind,28632.06,97.31,1954.15,0.72,0.5,Quantum-Safe,1,0.972,0.631,0.821,Renewable Boost,Carbon-Neutral Objective,26655.23,0.689
DC0582,AI Training,119.98,41.2,24.58,Hybrid,25513.65,87.86,783.71,0.918,0.305,High,0,0.764,0.518,0.605,High,Conventional,145938.6,0.81
DC0583,Cloud Storage,119.67,37.66,71.55,Solar,4400.31,64.07,1850.41,0.408,0.974,High,0,0.77,0.852,0.515,Medium,Carbon-Neutral Objective,57164.81,0.637
DC0584,Database Queries,273.12,178.9,9.59,Hybrid,5403.97,73.08,1112.41,0.191,0.663,Low,1,0.731,0.746,0.717,Medium,Conventional,164911.58,0.775
DC0585,AI Training,300.54,131.2,20.33,Wind,30444.69,35.67,576.0,0.517,0.408,High,0,0.663,0.547,0.785,Low,Energy-Efficient Focus,199143.7,0.833
DC0586,IoT Processing,294.24,31.27,87.81,Hybrid,17706.97,66.77,1419.68,0.908,0.28,High,1,0.738,0.586,0.938,High,Balanced Approach,19940.86,0.809
DC0587,Database Queries,54.83,88.62,74.0,Hybrid,45946.14,51.01,1334.86,0.804,0.731,Low,0,0.801,0.551,0.964,Medium,Carbon-Neutral Objective,97241.85,0.732
DC0588,IoT Processing,439.96,123.44,1.87,Grid,20922.94,53.38,1978.79,0.066,0.242,Quantum-Safe,0,0.993,0.806,0.764,Medium,Conventional,161402.2,0.817
DC0589,Database Queries,140.14,17.61,25.21,Grid,8020.79,78.2,566.84,0.693,0.172,Medium,0,0.969,0.547,0.877,Low,Energy-Efficient Focus,158845.42,0.984
DC0590,Cloud Storage,73.46,176.6,21.83,Wind,36021.22,35.37,1360.52,0.572,0.53,Quantum-Safe,1,0.931,0.877,0.72,High,Balanced Approach,153199.45,0.682
DC0591,Web Hosting,445.49,160.92,27.45,Grid,15374.32,38.62,151.45,0.907,0.29,Low,1,0.945,0.51,0.873,Renewable Boost,Energy-Efficient Focus,73054.01,0.862
DC0592,Cloud Storage,478.27,101.54,25.13,Wind,26748.05,93.22,271.61,0.122,0.629,High,0,0.734,0.625,0.602,Low,Energy-Efficient Focus,93501.38,0.617
DC0593,Web Hosting,432.44,193.46,6.72,Solar,35193.81,15.06,57.64,0.534,0.118,Medium,1,0.829,0.945,0.686,Low,Conventional,121018.83,0.627
DC0594,AI Training,406.66,84.13,46.16,Grid,45112.94,53.71,1998.95,0.879,0.655,High,0,0.948,0.859,0.817,High,Balanced Approach,194918.41,0.821
DC0595,Database Queries,331.07,196.84,73.41,Solar,39817.37,92.15,1614.43,0.41,0.283,High,1,0.696,0.536,0.509,Renewable Boost,Energy-Efficient Focus,68871.72,0.642
DC0596,Web Hosting,279.92,133.92,60.87,Grid,34141.69,64.93,1584.11,0.482,0.0,Quantum-Safe,0,0.981,0.911,0.861,Medium,Energy-Efficient Focus,185013.06,0.609
DC0597,Database Queries,52.62,127.3,67.45,Wind,34302.03,59.18,1043.97,0.07,0.127,High,1,0.708,0.747,0.918,High,Carbon-Neutral Objective,57524.6,0.669
DC0598,Cloud Storage,210.14,34.03,8.57,Wind,47350.31,32.48,635.13,0.278,0.934,Low,1,0.801,0.923,0.7,Peak,Conventional,197869.52,0.826
DC0599,Web Hosting,192.62,176.5,95.17,Grid,15495.38,40.89,344.97,0.325,0.867,Medium,0,0.855,0.8,0.724,Low,Performance-Driven Strategy,135701.42,0.881
DC0600,AI Training,137.28,86.07,83.93,Hybrid,1054.49,86.68,605.12,0.945,0.234,Low,0,0.975,0.841,0.926,Medium,Energy-Efficient Focus,95384.74,0.681
DC0601,Database Queries,364.48,33.28,80.61,Wind,14325.77,60.33,783.14,0.283,0.778,Medium,1,0.622,0.997,0.888,High,Energy-Efficient Focus,124611.13,0.867
DC0602,Web Hosting,252.98,3.51,82.39,Hybrid,11676.68,56.33,1524.8,0.461,0.609,Low,1,0.873,0.616,0.644,High,Performance-Driven Strategy,58143.58,0.673
DC0603,Cloud Storage,49.71,112.39,93.3,Grid,33429.89,18.96,1102.34,0.671,0.971,Low,1,0.76,0.812,0.662,Low,Performance-Driven Strategy,58463.9,0.845
DC0604,Database Queries,117.89,105.95,54.65,Wind,32051.87,11.44,201.09,0.162,0.374,High,0,0.634,0.73,0.839,Low,Balanced Approach,27143.14,0.765
